frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"66","Dec 18, 2025 15:29:54.479803000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"56732","5355",,
"72","Dec 18, 2025 15:29:54.480011000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:54.482045000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"72","Dec 18, 2025 15:29:54.893521000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:54.895365000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"86","Dec 18, 2025 15:29:56.030638000 EST","192.168.138.1","192.168.138.255","128","eth:ethertype:ip:udp:data",,,,"57621","57621",,
"138","Dec 18, 2025 15:29:56.044314000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"138","Dec 18, 2025 15:29:56.044596000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:29:56.044615000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"78","Dec 18, 2025 15:29:56.064818000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"49809","53",,
"86","Dec 18, 2025 15:29:56.490068000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"65083","5355",,
"66","Dec 18, 2025 15:29:56.490068000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"65083","5355",,
"72","Dec 18, 2025 15:29:56.490297000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:56.491955000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"72","Dec 18, 2025 15:29:56.905309000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:56.907107000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"243","Dec 18, 2025 15:29:57.546584000 EST","192.168.138.180","192.168.138.255","128","eth:ethertype:ip:udp:nbdgm:smb:browser",,,,"138","138","0x25",
"78","Dec 18, 2025 15:30:00.065410000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"49809","53",,
"86","Dec 18, 2025 15:30:00.484607000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"56686","5355",,
"66","Dec 18, 2025 15:30:00.484723000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"56686","5355",,
"72","Dec 18, 2025 15:30:00.484842000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:30:00.486415000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"72","Dec 18, 2025 15:30:00.900171000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:30:00.902153000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"138","Dec 18, 2025 15:30:01.066317000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"138","Dec 18, 2025 15:30:01.066553000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:30:01.066568000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"88","Dec 18, 2025 15:30:01.623033000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"40320","53",,
"88","Dec 18, 2025 15:30:01.623075000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"40320","53",,
"79","Dec 18, 2025 15:30:01.650808000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"50919","53",,
"79","Dec 18, 2025 15:30:01.650852000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"50919","53",,
"95","Dec 18, 2025 15:30:01.836520000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"60824","53",,
"95","Dec 18, 2025 15:30:01.836610000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"60824","53",,
"85","Dec 18, 2025 15:30:02.114758000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"43426","53",,
"85","Dec 18, 2025 15:30:02.114801000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"43426","53",,
"87","Dec 18, 2025 15:30:02.117279000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"45503","53",,
"87","Dec 18, 2025 15:30:02.117326000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"45503","53",,
"97","Dec 18, 2025 15:30:02.160294000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"45087","53",,
"97","Dec 18, 2025 15:30:02.160363000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"45087","53",,
"71","Dec 18, 2025 15:30:02.398900000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"53736","53",,
"71","Dec 18, 2025 15:30:02.399135000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"48182","53",,
"71","Dec 18, 2025 15:30:02.399176000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"48182","53",,
"73","Dec 18, 2025 15:30:02.399365000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"53018","53",,
"73","Dec 18, 2025 15:30:02.399395000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"53018","53",,
"84","Dec 18, 2025 15:30:02.404599000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"42955","53",,
"84","Dec 18, 2025 15:30:02.405038000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"47814","53",,
"84","Dec 18, 2025 15:30:02.405078000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"47814","53",,
"78","Dec 18, 2025 15:30:04.069996000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"64072","53",,
"86","Dec 18, 2025 15:30:04.484676000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"61043","5355",,
"66","Dec 18, 2025 15:30:04.484725000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"61043","5355",,
"72","Dec 18, 2025 15:30:04.484912000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:30:04.486678000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"60","Dec 18, 2025 15:30:04.631245000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 18, 2025 15:30:04.631246000 EST",,,,"eth:ethertype:arp",,,,,,,
"72","Dec 18, 2025 15:30:04.901522000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:30:04.903119000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"78","Dec 18, 2025 15:30:05.082982000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"64072","53",,
"86","Dec 18, 2025 15:30:05.505211000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"61380","5355",,
"66","Dec 18, 2025 15:30:05.505347000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"61380","5355",,
"72","Dec 18, 2025 15:30:05.505581000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:30:05.507547000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"75","Dec 18, 2025 15:30:05.701243000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"53797","53",,
"75","Dec 18, 2025 15:30:05.701300000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"53797","53",,
"104","Dec 18, 2025 15:30:05.701941000 EST","192.168.138.2","192.168.138.181","128","eth:ethertype:ip:udp:dns",,,,"53","40320",,
"72","Dec 18, 2025 15:30:05.925098000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:30:05.927593000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"138","Dec 18, 2025 15:30:05.992795000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"138","Dec 18, 2025 15:30:05.993062000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:30:05.993078000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"78","Dec 18, 2025 15:30:06.096367000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"64072","53",,
"86","Dec 18, 2025 15:30:06.511031000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"49724","5355",,
"66","Dec 18, 2025 15:30:06.511139000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"49724","5355",,
"72","Dec 18, 2025 15:30:06.511354000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:30:06.513179000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"88","Dec 18, 2025 15:30:06.624232000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"40320","53",,
"79","Dec 18, 2025 15:30:06.656262000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"50919","53",,
"79","Dec 18, 2025 15:30:06.656337000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"50919","53",,
"95","Dec 18, 2025 15:30:06.841812000 EST","192.168.138.181","192.168.138.2","64","eth:ethertype:ip:udp:dns",,,,"60824","53",,
