session_id,nt_count,trans2_count,duration,label
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_35389.0,0,0,0.034537,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_36341.0,0,0,0.009792,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_36835.0,0,0,0.021843,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_37011.0,0,0,0.014574,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_37469.0,0,0,0.02349,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_37479.0,0,0,0.016001,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_37497.0,0,0,0.019288,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_37971.0,0,0,0.081146,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_38067.0,0,0,0.001048,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_38205.0,0,0,0.051137,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_38257.0,0,0,0.020045,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_38285.0,0,0,0.012332,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_38533.0,0,0,0.01722,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_38859.0,0,0,0.017856,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_39623.0,0,0,0.017353,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_40019.0,0,0,0.069104,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_40465.0,0,0,0.015425,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_40621.0,0,0,0.007398,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_41327.0,0,0,0.003784,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_41425.0,0,0,0.012657,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_41545.0,0,0,0.005785,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_41719.0,0,0,0.025167,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_41845.0,0,0,0.005193,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_41929.0,0,0,0.006564,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_42027.0,0,0,0.024224,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_42425.0,0,0,0.045947,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_43601.0,0,0,0.065657,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_43769.0,0,0,0.013551,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_44147.0,0,0,0.077757,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_44343.0,0,0,0.020923,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_4444.0,0,0,193.466947,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_44631.0,0,0,0.022642,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_44669.0,1,8,10.191688,1
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_44687.0,0,0,0.018515,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_45513.0,0,0,0.059393,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_45557.0,0,0,0.016596,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_46049.0,0,0,0.008729,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_46275.0,0,0,0.016023,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_46479.0,0,0,0.011546,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.184_46543.0,0,0,0.023619,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_192.168.138.2_nan,0,0,5.849073,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_196.49.100.58_nan,0,0,128.249974,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_216.58.205.35_56790.0,0,0,10.163711,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_216.58.205.35_56800.0,0,0,10.151422,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_216.58.205.35_56802.0,0,0,10.177356,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_34.107.221.82_54854.0,0,0,12.18402,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_34.107.243.93_33430.0,0,0,0.250055,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_34.107.243.93_33436.0,0,0,0.701702,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_34.160.144.191_34204.0,0,0,0.26656,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_34.36.137.203_41998.0,0,0,0.290915,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_34.36.137.203_42012.0,0,0,2.264205,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_34.36.137.203_nan,0,0,2.194207,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_35.161.33.12_58726.0,0,0,1.1056300000000001,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.181_35.161.33.12_58734.0,0,0,0.841005,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.184_192.168.138.181_135.0,0,0,0.000795,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.184_192.168.138.181_445.0,2,3,57.794965,1
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.184_192.168.138.181_49162.0,0,0,193.467148,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.184_192.168.138.2_nan,0,0,123.110713,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.1_192.168.138.254_nan,0,0,0.0,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.1_192.168.138.255_nan,0,0,215.182353,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.1_224.0.0.22_nan,0,0,0.058671,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.1_224.0.0.251_nan,0,0,240.073412,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.1_224.0.0.252_nan,0,0,0.0,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.1_239.255.255.250_nan,0,0,182.609184,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.254_192.168.138.1_nan,0,0,0.0,0
../data/processed/csv/attack\attacktraffic12.csv_192.168.138.2_192.168.138.181_nan,0,0,5.844433,0
../data/processed/csv/attack\attacktraffic12.csv_196.49.100.58_192.168.138.181_nan,0,0,128.240506,0
../data/processed/csv/attack\attacktraffic12.csv_216.58.205.35_192.168.138.181_80.0,0,0,0.652597,0
../data/processed/csv/attack\attacktraffic12.csv_34.107.221.82_192.168.138.181_80.0,0,0,12.135571,0
../data/processed/csv/attack\attacktraffic12.csv_34.107.243.93_192.168.138.181_443.0,0,0,0.76207,0
../data/processed/csv/attack\attacktraffic12.csv_34.160.144.191_192.168.138.181_443.0,0,0,0.211905,0
../data/processed/csv/attack\attacktraffic12.csv_34.36.137.203_192.168.138.181_443.0,0,0,2.2681810000000002,0
